Text: нет, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: анодная, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: в, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: развитии, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: кисти, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: перетри, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: х, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: за, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: за, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: нормальное, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: развитие, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: кисти, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: нет, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: гипертрихоза, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: -с, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: тормозных, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: Его, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: возможные, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: генотипы, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: и, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: однотипны, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: дочери, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: -де, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: хаза, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: в, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
Text: развитии, Number: 28, Confidence: 0.90, Bbox: [8.142409324645996, 0.0, 2310.0, 1491.4637451171875]
