Text: потому, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: что, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: снега, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: у, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: жирафа, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: очень, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: длинная, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: благодаря, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: между, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: давления, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: имеет, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: такие, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: показатели, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: а, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: Так, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: как, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: у, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: жирафа, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: длинные, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: ноги, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: это, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: необходимо, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: для, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: того, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: чтобы, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: заживлять, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: процессы, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: озлоблена, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: благодаря, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: читку, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: кани, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: на, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: в, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: одинаковом, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: объеме, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: получали, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: кислород, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: а, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: Жидкости, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: не, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: успевают, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: переходить, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: в, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: более, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: насыщенную, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: среду, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: засиял, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: скорости, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: движения, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
Text: крови, Number: 24, Confidence: 0.35, Bbox: [3.4108457565307617, 0.0, 2288.989501953125, 836.7391967773438]
