Text: Задача, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: дано, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: аномальное, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: развитие, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кисти, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: (анамам.киено), Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: развитие, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кисли, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: (корм.кисть), Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: нет, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гипертрихоза, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гнет, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гиперпер.), Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гипертрихоз, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: (гиперпер.), Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: р, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: норм, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кисть, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: НЕТ, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гиперстен, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: комкал, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: КИСТЬ, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: гипертрихоз, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: хоз, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: недостоверные, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: памяти, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: а, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кроссовере, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: тишать, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: корм, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
Text: кисть, Number: 28, Confidence: 0.42, Bbox: [21.427392959594727, 36.298126220703125, 2310.0, 1957.9581298828125]
