Text: р-н, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: находил, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: частоту, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: встречавнонумального, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: фенотипа, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: ваал, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: р-н, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: 0,99-, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: 0,9801, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: частоту, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: аномального, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гетуозмоткого, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: находил, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: флотилии, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: (ad2, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: фактор, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: естественный, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: отбор, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: барна, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кисту, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гл, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: р, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: А, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: А, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: no28, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: англия, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кислот, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
