Text: препарата, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: целостность, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: называется, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Такие, Number: none, Confidence: none, Bbox: none
Text: особенности, Number: none, Confidence: none, Bbox: none
Text: жизненного, Number: none, Confidence: none, Bbox: none
Text: никла, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: вирусов, Number: none, Confidence: none, Bbox: none
Text: какмутощии, Number: none, Confidence: none, Bbox: none
Text: выработка, Number: none, Confidence: none, Bbox: none
Text: иммунитета, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: определенным, Number: none, Confidence: none, Bbox: none
Text: препаратом, Number: none, Confidence: none, Bbox: none
Text: усложняют, Number: none, Confidence: none, Bbox: none
Text: противовирусных, Number: none, Confidence: none, Bbox: none
Text: препаратов, Number: none, Confidence: none, Bbox: none
Text: 125.1)у, Number: none, Confidence: none, Bbox: none
Text: штрафов, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: артерии, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сонных, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: наблюдается, Number: none, Confidence: none, Bbox: none
Text: такое, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: размеров, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: тела, Number: none, Confidence: none, Bbox: none
Text: Большое, Number: none, Confidence: none, Bbox: none
Text: сердце, Number: none, Confidence: none, Bbox: none
Text: качает, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: таим, Number: none, Confidence: none, Bbox: none
Text: самым, Number: none, Confidence: none, Bbox: none
Text: обусловлено, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: конечностях, Number: none, Confidence: none, Bbox: none
Text: соединительная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: каптеров, Number: none, Confidence: none, Bbox: none
Text: имеет, Number: none, Confidence: none, Bbox: none
Text: большую, Number: none, Confidence: none, Bbox: none
Text: плотность, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: причине, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: имеет, Number: none, Confidence: none, Bbox: none
Text: большие, Number: none, Confidence: none, Bbox: none
Text: размеры, Number: none, Confidence: none, Bbox: none
Text: большую, Number: none, Confidence: none, Bbox: none
Text: маму, Number: none, Confidence: none, Bbox: none
Text: тема, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: бегстве, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: Вязников, Number: none, Confidence: none, Bbox: none
Text: ему, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: дополнительная, Number: none, Confidence: none, Bbox: none
Text: защита, Number: none, Confidence: none, Bbox: none
Text: напише, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: лопнули, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: давления, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: длительном, Number: none, Confidence: none, Bbox: none
Text: патологическом, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: артериальном, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: возникать, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: нижних, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: движется, Number: none, Confidence: none, Bbox: none
Text: быстрее, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: иногда, Number: none, Confidence: none, Bbox: none
Text: доходит, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: нижних, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: должном, Number: none, Confidence: none, Bbox: none
Text: объеме, Number: none, Confidence: none, Bbox: none
Text: малом, Number: none, Confidence: none, Bbox: none
Text: объеме, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: медленно, Number: none, Confidence: none, Bbox: none
Text: изза, Number: none, Confidence: none, Bbox: none
Text: чего, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: медленно,, Number: none, Confidence: none, Bbox: none
Text: из-, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: чего, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
