Text: рекомбинантные, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: в, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитии, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: пектин, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нет, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: клети, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: рекомбинантные, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: кисти, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нет, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: окончания, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: искрам, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: брак, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитии, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: кисти, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нет, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
