Text: рецессивные, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гомо, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: люты, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Частота, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: разновесной, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: популяции, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: 0,01, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Частота, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: annens, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -де, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: равновесной, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: популяции, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -де, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Частота, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: встречаемость, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: особей, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: текстилем, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: разновесной, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: популяции, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: 0,9801, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: встречаемость, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Частота, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: особей, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: генотипом, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: аде, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гетерозигот, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: в, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: радиогенной, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: популяции, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гарда, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: а, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: -с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: дано, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: Решение, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гнать, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: нормальным, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: развитием, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: кисти, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: без, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гипертрихоза, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: е, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: генотип, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: ахов, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: гетерозигота, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: потому, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: что, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: дочь, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: рождается, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: жреце, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: проявленным, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: рецессивным, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: сама, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: признаком, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: с, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: нормальный, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: развитием, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
Text: кисти, Number: 28, Confidence: 0.68, Bbox: [0.0, 1380.7694091796875, 2270.7939453125, 2586.87841796875]
