Text: вую, Number: none, Confidence: none, Bbox: none
Text: полость, Number: none, Confidence: none, Bbox: none
Text: (2.5), Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Сонные, Number: none, Confidence: none, Bbox: none
Text: артерии, Number: none, Confidence: none, Bbox: none
Text: несут, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: сердца, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: люизит, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Для, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: торбы, Number: none, Confidence: none, Bbox: none
Text: там, Number: none, Confidence: none, Bbox: none
Text: произ, Number: none, Confidence: none, Bbox: none
Text: произошел, Number: none, Confidence: none, Bbox: none
Text: газообмен, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: большо, Number: none, Confidence: none, Bbox: none
Text: кровно, Number: none, Confidence: none, Bbox: none
Text: сердце, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: силой, Number: none, Confidence: none, Bbox: none
Text: выбрасывает, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: артерий, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: По, Number: none, Confidence: none, Bbox: none
Text: ним, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: ся, Number: none, Confidence: none, Bbox: none
Text: течет, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: ой, Number: none, Confidence: none, Bbox: none
Text: ой, Number: none, Confidence: none, Bbox: none
Text: скоростью, Number: none, Confidence: none, Bbox: none
Text: притяжения, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Поскольку, Number: none, Confidence: none, Bbox: none
Text: ки, Number: none, Confidence: none, Bbox: none
Text: рост, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: размер, Number: none, Confidence: none, Bbox: none
