Text: решение, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: ай, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: брак, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: зада, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: х, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: заухав, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: гномами, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: (x9), Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: -де, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: чаев, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кроссовере, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: возможных, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: -де, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: дочерей, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: ха, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: хохааномался, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: возможных, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: сыновей, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: заухав, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: клети, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: хауса, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: атомами, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: г, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: ай, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: брак, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: р, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: д, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: ухха, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: хауса, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: приперт, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: б, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: возможных, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: дочерей, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: хохла, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.50, Bbox: [53.54600524902344, 133.11314392089844, 2310.0, 2590.0]
