Text: генотипы, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: возможных, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: сыновей, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: хауаотсутствие, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: в, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: развитии, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: кисти, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: отсутствие, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: гипертрихоза, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: хауса, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: аномалия, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: в, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: развитии, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: кисти, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: отсутствие, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: перетри, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: коза, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: В, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: ам, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: браке, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: возможно, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: рождение, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: ребенка, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: с, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: отсутствием, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
Text: атомами, Number: 22, Confidence: 0.41, Bbox: [40.50703430175781, 3.517056465148926, 2301.089111328125, 872.6657104492188]
