Text: наврав, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: норм, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: по, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: нет, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: г, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: забрав, Number: 28, Confidence: 0.33, Bbox: [850.4165649414062, 249.56065368652344, 1219.793212890625, 383.33624267578125]
Text: а, Number: 28, Confidence: 0.33, Bbox: [850.4165649414062, 249.56065368652344, 1219.793212890625, 383.33624267578125]
Text: рак, Number: 28, Confidence: 0.33, Bbox: [850.4165649414062, 249.56065368652344, 1219.793212890625, 383.33624267578125]
Text: нет, Number: 28, Confidence: 0.33, Bbox: [850.4165649414062, 249.56065368652344, 1219.793212890625, 383.33624267578125]
Text: г, Number: 28, Confidence: 0.33, Bbox: [850.4165649414062, 249.56065368652344, 1219.793212890625, 383.33624267578125]
Text: с, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: рядом, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: пет, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: г, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: нет, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: г, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: -с, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
