Text: имеет, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: очень, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: в, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: длинную, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: шею, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: сравн, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: прил, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: человеком, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: сущ, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: уловных, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: сре, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: прер, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: серы, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: но, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: готовы, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: уровне, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: его, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: не, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: на, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: сда, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: уста, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: вперта, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: таза, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: сделать, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: рода, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: увеличивает, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: давление, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: х, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: масса, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: калено, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: больш, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: чем, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: тко, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: быстро, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: чем, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: у, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: шесть, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: короткость, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
Text: гинут, Number: 22, Confidence: 0.94, Bbox: [0.0, 10.621688842773438, 2218.27099609375, 1123.8358154296875]
