Text: что, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: их, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: шея, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: длиннее, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: и, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: нужно, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: быстрее, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: доставить, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: кровь, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: к, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: к, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: недугу, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: -де, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: Мне, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: кажется, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: что, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: древние, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
Text: предки, Number: 24, Confidence: 0.40, Bbox: [65.96253204345703, 1835.1395263671875, 2310.0, 2573.467529296875]
