Text: кастрация, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: и, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: на, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: ней, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: осталось, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: большинство, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: сумчатых, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: животных, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: -де, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: можно, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: так, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: по, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: истечению, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: часов, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: после, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: выселения, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: препарата, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: содержание, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: вирусных, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: частиц, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: в, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: образце, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: сказалось, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: метод, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: иголке, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: размножение, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
Text: путем, Number: 22, Confidence: 0.37, Bbox: [0.0, 0.0, 2285.5078125, 1879.80517578125]
