Text: и, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: для, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: этого, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: нужна, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: большая, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: плотность, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: капилляров, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: При, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: длительном, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: патологически, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: повышением, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: артериальном, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: давлении, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: кровь, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: движется, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: быстрее, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: обычно, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: и, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: клетки, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: нижних, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: конечностей, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: не, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: угрева, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: приважен, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: поститься, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: кислородом, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: и, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
Text: поэтому, Number: 22, Confidence: 0.76, Bbox: [72.52388763427734, 21.602270126342773, 2302.74267578125, 750.7481689453125]
