Text: no22-д, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: Такой, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: отрицательный, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: контроль, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: нельзя, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: кутать, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: аденватсчи, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: частицы, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: зыбче, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: тк, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: экспериментатор, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: оказывал, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: воздействие, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: с, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: помощью, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: противовирусного, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: препарата, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: вирусные, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: Воздействие, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: на, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: клетки, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: препятствовало, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: постановке, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: отрицательного, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: контроля, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: это, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: элемент, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: года, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: исключало, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: возможность, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: знать, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: какие, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: друг, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: изана, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: пиве, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: факторы, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: могут, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: влиять, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: количество, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: ярусных, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: частиц, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: в, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: клетке, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: исключало, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: достоверность, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: и, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: точности, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: эксперимента, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: Для, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
Text: постановления, Number: 22, Confidence: 0.46, Bbox: [17.166120529174805, 56.5305290222168, 2310.0, 1538.675537109375]
