Text: вещества, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: то, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: он, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: вирусные, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: доказывает, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: что, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: клетки, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: лекарства, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: помогают, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: в, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: борьбе, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: вирусами, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: Если, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: он, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: доказывает, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: что, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: лекарства, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: в, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: борьбе, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: помогают, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: парусами, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: то, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: почему, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: он, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: добавляет, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: лекарстве, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: а, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: раз, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: Он, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: должен, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: был, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: повторить, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: процедуру, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: каждые, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: часа, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: no23., Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: да, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: содержание, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
Text: вирусных, Number: 23, Confidence: 0.35, Bbox: [0.0, 1239.1416015625, 2281.017822265625, 2588.837158203125]
