Text: возможные, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: генотипы, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: и, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: иов, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: замеров, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: фенотипы, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: -с, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: здорова, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: дорога, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: а, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: 4./3., Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: ав, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: угорь, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: права, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: возможные, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: генотипы, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: и, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: скотты, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: сыновей, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: а, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: а, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: в, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: -с, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: до, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: здоров, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: дерев, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: а, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: ав, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: АВ, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: Новое, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: no24, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: рефлекс, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: изображен, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: -с, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: Безусловный, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: сражен, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: на, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: рисунке, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: под, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: сувой, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: г, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: -с, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: узнанный, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: рефлексация, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: на, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: раздража, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
Text: юлие, Number: 28, Confidence: 0.92, Bbox: [55.48052215576172, 83.0347900390625, 2299.3427734375, 2478.862060546875]
