Text: x=xa-, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: без, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: без, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: княжения, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: в, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: развитии, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: х, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: А, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: ув, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: мальчик, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: нобелий, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: развитие, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: интерприкоз, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: кипел, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: и, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
Text: коде, Number: 28, Confidence: 0.87, Bbox: [37.04308319091797, 0.7906522750854492, 2310.0, 1812.7935791015625]
