Text: случае, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: они, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: никак, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: не, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: проявляют, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: свою, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: активность, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: то, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: есть, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: их, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: бучение, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: разработка, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: препаратов, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: возможна, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: только, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: при, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: заражении, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: тот, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: же, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: вирус, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
Text: может, Number: 24, Confidence: 0.35, Bbox: [1.9676151275634766, 1558.229248046875, 2270.474365234375, 2590.0]
