Text: раз, Number: none, Confidence: none, Bbox: none
Text: геологической, Number: none, Confidence: none, Bbox: none
Text: теории, Number: none, Confidence: none, Bbox: none
Text: единой, Number: none, Confidence: none, Bbox: none
Text: земли, Number: none, Confidence: none, Bbox: none
Text: То, Number: none, Confidence: none, Bbox: none
Text: есть, Number: none, Confidence: none, Bbox: none
Text: когда-то, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: Земле, Number: none, Confidence: none, Bbox: none
Text: был, Number: none, Confidence: none, Bbox: none
Text: единый, Number: none, Confidence: none, Bbox: none
Text: материк, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: котором, Number: none, Confidence: none, Bbox: none
Text: были, Number: none, Confidence: none, Bbox: none
Text: многие, Number: none, Confidence: none, Bbox: none
Text: животные, Number: none, Confidence: none, Bbox: none
Text: сказание, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: своему, Number: none, Confidence: none, Bbox: none
Text: строению, Number: none, Confidence: none, Bbox: none
Text: примерно, Number: none, Confidence: none, Bbox: none
Text: Потом, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: начал, Number: none, Confidence: none, Bbox: none
Text: расходиться, Number: none, Confidence: none, Bbox: none
Text: географическая, Number: none, Confidence: none, Bbox: none
Text: ская, Number: none, Confidence: none, Bbox: none
Text: скал, Number: none, Confidence: none, Bbox: none
Text: зак, Number: none, Confidence: none, Bbox: none
Text: верность, Number: none, Confidence: none, Bbox: none
Text: расселения, Number: none, Confidence: none, Bbox: none
Text: возникла, Number: none, Confidence: none, Bbox: none
Text: географическая, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: ол, Number: none, Confidence: none, Bbox: none
Text: абляция, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: нашем, Number: none, Confidence: none, Bbox: none
Text: случае, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: сказать, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: Австралия, Number: none, Confidence: none, Bbox: none
Text: отделилась, Number: none, Confidence: none, Bbox: none
Text: полностью, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: Южной, Number: none, Confidence: none, Bbox: none
Text: америке, Number: none, Confidence: none, Bbox: none
Text: Вследствие, Number: none, Confidence: none, Bbox: none
Text: естественного, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: совершенствования, Number: none, Confidence: none, Bbox: none
Text: организмов, Number: none, Confidence: none, Bbox: none
Text: как-то, Number: none, Confidence: none, Bbox: none
Text: сумчатые, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Южной, Number: none, Confidence: none, Bbox: none
Text: Америке, Number: none, Confidence: none, Bbox: none
Text: вымерли, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Австралии, Number: none, Confidence: none, Bbox: none
Text: эволюционировали, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: кенгуру, Number: none, Confidence: none, Bbox: none
Text: Биологическая, Number: none, Confidence: none, Bbox: none
Text: закономерность, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: связана, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: условиями, Number: none, Confidence: none, Bbox: none
Text: окружающей, Number: none, Confidence: none, Bbox: none
Text: среды, Number: none, Confidence: none, Bbox: none
Text: разным, Number: none, Confidence: none, Bbox: none
Text: питанием, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: чего, Number: none, Confidence: none, Bbox: none
Text: особи, Number: none, Confidence: none, Bbox: none
Text: тоже, Number: none, Confidence: none, Bbox: none
Text: изолируются, Number: none, Confidence: none, Bbox: none
Text: друг, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: друга, Number: none, Confidence: none, Bbox: none
Text: даже, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: единых, Number: none, Confidence: none, Bbox: none
Text: материках, Number: none, Confidence: none, Bbox: none
Text: Поэтому, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: одних, Number: none, Confidence: none, Bbox: none
Text: условиях, Number: none, Confidence: none, Bbox: none
Text: сформировался, Number: none, Confidence: none, Bbox: none
Text: один, Number: none, Confidence: none, Bbox: none
Text: вид, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: других, Number: none, Confidence: none, Bbox: none
Text: условиях, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: другой, Number: none, Confidence: none, Bbox: none
Text: no28, Number: none, Confidence: none, Bbox: none
