Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: а, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: аномалии, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: книгах, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гипертрихоза, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: аномалия, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: питься, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гипертрихоза, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гнет, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: панамами, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гипертрихоз, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: генотипы, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: и, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: фенотиазин, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: сыновей, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: х, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кв, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: аномалия, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гипертрихоз, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: а, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: аномалий, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гипертрихоза, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гипертрихоза, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: а, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: гипертрихоз, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: Рождение, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: в, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: первом, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: браке, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: ребенка, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: с, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: нормальным, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [32.58420944213867, 1009.1353149414062, 2285.979248046875, 1538.525634765625]
