Text: Кака, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: норм, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: охватыв, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: амиант, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: гиперон, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: алан, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: корм, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: некроссоверши, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: потомки, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: р, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: д, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: Ха, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: кроссовер, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: оогонии, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: норм, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: корм, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: химер, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -де, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: корм, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: корм, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: В, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: первом, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: брам, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: возможно, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: рождение, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: ребенка, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: нормальным, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: развитием, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: кисти, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: и, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: гипертрихозом, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: схапав, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: а, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: так, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: одну, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: хромосома, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: получает, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: от, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: матери, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: а, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: вторую, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: хромосому, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: в, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: кроссинговере, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: от, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: отца, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: no24, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: безбровый, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: рефлекс, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: спиостделения, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: и, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: отсутствие, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: безразл, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: и, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: отсутствие, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: безразличного, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: раздражителя, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: изображается, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: на, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: картине, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: а, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: Инстинкт, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: заношен, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: в, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: особи, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: изначально, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: и, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: передается, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: из, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: поколения, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: в, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: поколели, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: -с, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: безуслов, Number: 28, Confidence: 0.77, Bbox: [30.566207885742188, 0.0, 2268.882568359375, 2228.074462890625]
Text: репор, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
Text: пеш, Number: 24, Confidence: 0.33, Bbox: [49.406009674072266, 1826.9986572265625, 2255.669921875, 2183.806396484375]
