Text: объявление, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: препарата, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: купленного, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: в, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: фотивовируемого, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: аптеке, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: не, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: является, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: отрица, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: тельным, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: контролем, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: Противовирусный, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: препарат, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: может, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: разрушай, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: вирусные, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: частицы, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: по, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: в, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: отрицательном, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: контроле, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: мы, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: должны, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: доказать, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: что, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: действительно, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: на, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: разрушение, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: вирусных, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: частиц, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: вмест, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: препарат, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: не, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: другие, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: другие, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: факторы, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: поэтому, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: отряда, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: дательном, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: контроле, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
Text: мы, Number: 24, Confidence: 0.50, Bbox: [43.635311126708984, 2185.304931640625, 2310.0, 2590.0]
