Text: также, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: безусловный, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: можн, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: возобновить, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: если, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: при, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: загорании, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: лампочки, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: собаки, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: а, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: условный, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: раздраж, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: давать, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: пищу, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: тель, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: лампочка, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: подкреплять, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: безусловным, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: безразличным, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: раздражителемкормая, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: собаки, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: Инстинкт, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: заложен, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: наследственно, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: не, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: может, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: затухать, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: его, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: не, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: надо, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: крепировать, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: при, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: опасности, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: организм, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: каждого, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: животного, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: может, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: реагировать, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: по, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
Text: разному, Number: 24, Confidence: 0.34, Bbox: [43.211952209472656, 482.3475341796875, 2310.0, 2590.0]
