Text: жирафов, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: сонная, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: артериях, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: наблюдается, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: высокое, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: артериальное, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: давление, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: из-за, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: большой, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: плотности, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: в, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: соединительной, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: капилляров, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: которая, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: вокруг, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: позволяет, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: удовлетворяют, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: в, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: меривать, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
