Text: снач, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: южную, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: Америку, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: перво, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: заселили, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: астате, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: животные, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: Сначала, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: сумчатые, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: животные, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: заселили, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: южную, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: америку, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: а, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: потом, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: они, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: заселили, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: австралиек, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: вселение, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: сумчатая, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: связано, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
