Text: препарату, Number: none, Confidence: none, Bbox: none
Text: Наблюдение, Number: none, Confidence: none, Bbox: none
Text: позволяет, Number: none, Confidence: none, Bbox: none
Text: атаковать, Number: none, Confidence: none, Bbox: none
Text: влияли, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: целостность, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Особенности, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: ерник, Number: none, Confidence: none, Bbox: none
Text: содержащие, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: легко, Number: none, Confidence: none, Bbox: none
Text: мутируют, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: результате, Number: none, Confidence: none, Bbox: none
Text: образуется, Number: none, Confidence: none, Bbox: none
Text: вирус, Number: none, Confidence: none, Bbox: none
Text: устойчивый, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: изначально, Number: none, Confidence: none, Bbox: none
Text: разработанному, Number: none, Confidence: none, Bbox: none
Text: препарату, Number: none, Confidence: none, Bbox: none
Text: сердись, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: сложно, Number: none, Confidence: none, Bbox: none
Text: б, Number: none, Confidence: none, Bbox: none
Text: Вирусы, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: размножаются, Number: none, Confidence: none, Bbox: none
Text: разработать, Number: none, Confidence: none, Bbox: none
Text: дозу, Number: none, Confidence: none, Bbox: none
Text: препирание, Number: none, Confidence: none, Bbox: none
Text: способного, Number: none, Confidence: none, Bbox: none
Text: бы, Number: none, Confidence: none, Bbox: none
Text: убить, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: А, Number: none, Confidence: none, Bbox: none
Text: отображен, Number: none, Confidence: none, Bbox: none
Text: бездельной, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюпостушения, Number: none, Confidence: none, Bbox: none
Text: отсутствует, Number: none, Confidence: none, Bbox: none
Text: безразличной, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: (машпочый, Number: none, Confidence: none, Bbox: none
Text: выключения, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: реакторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: смаком, Number: none, Confidence: none, Bbox: none
Text: отделительного, Number: none, Confidence: none, Bbox: none
Text: Армения, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: пропиточном, Number: none, Confidence: none, Bbox: none
Text: мозге, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: формируется, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: ответ, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: разурцентем,, Number: none, Confidence: none, Bbox: none
Text: формируется, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: самого, Number: none, Confidence: none, Bbox: none
Text: рождения, Number: none, Confidence: none, Bbox: none
Text: подпоре, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: инстинкты, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: животных, Number: none, Confidence: none, Bbox: none
Text: реформировать, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: рождения, Number: none, Confidence: none, Bbox: none
Text: Формирование, Number: none, Confidence: none, Bbox: none
Text: уловного, Number: none, Confidence: none, Bbox: none
Text: редиски, Number: none, Confidence: none, Bbox: none
Text: включение, Number: none, Confidence: none, Bbox: none
Text: светлы, Number: none, Confidence: none, Bbox: none
Text: першими, Number: none, Confidence: none, Bbox: none
Text: собаки, Number: none, Confidence: none, Bbox: none
Text: пищей, Number: none, Confidence: none, Bbox: none
Text: комуза, Number: none, Confidence: none, Bbox: none
Text: которой, Number: none, Confidence: none, Bbox: none
Text: выделяется, Number: none, Confidence: none, Bbox: none
Text: симпа, Number: none, Confidence: none, Bbox: none
