Text: Данный, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: бланк, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: использовать, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: только, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: после, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: заполни, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: -с, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: а, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: -с, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: развитости, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: гиперонах, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: синонимии, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: рак, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: frip, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: -де, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: -с, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: развития, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: стигмами, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: нет, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: бадан, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: буян, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: прошения, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
Text: развития, Number: 28, Confidence: 0.95, Bbox: [29.211896896362305, 0.0, 2292.22412109375, 1720.394775390625]
