Text: Задание, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: -с, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: -с, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: Частота, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: мутантного, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: генотипа, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: в, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: популяции, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: 1/1000, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: а, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: 0,0001, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: -с, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: Мутантный, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: генотип, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: -с, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: -с, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: Найдем, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: частоту, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: встречаемость, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: мутантного, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: а, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: апреля, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: в, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: популяции, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: -с, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: По, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: формуле, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: найдем, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
Text: частоту, Number: 28, Confidence: 0.55, Bbox: [0.0, 0.0, 2298.04931640625, 1783.0736083984375]
