Text: Вирусом, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: приезда, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: такие, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: особенности, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: как, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: Частые, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: му, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: тащили, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: Паразитизм, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: на, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: разных, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: клетках, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: организма, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: Эти, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: факторы, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: усложняют, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: разработку, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: противовесу, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: иных, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: препаратов, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: Задание, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: -де, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
Text: На, Number: 22, Confidence: 0.37, Bbox: [95.32510375976562, 19.225744247436523, 2296.58251953125, 625.0185546875]
