Text: умильности, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: кушетк, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: присно, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: контроля, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: загрузил, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: классные, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: крови, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: через, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: степени, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: соседа, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: возглавием, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: высокого, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: зависит, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: завис, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: В, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: литерах, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: политеистах, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: вперли, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: для, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: корейка, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: крова, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: верх, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: При, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: повышенном, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: а, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: количество, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: плазмы, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
Text: прови, Number: 22, Confidence: 0.31, Bbox: [69.8824462890625, 109.76457214355469, 2299.812744140625, 1560.1978759765625]
