Text: сочной, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: артерии, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сонная, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: артерия, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: несет, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: кровь, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: от, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сердца, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: к, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: моду, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: жирафов, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: артерия, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: более, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: высокое, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сравнение, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: долее, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: тамто, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: высокое, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: давление, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: и, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: напитках, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: капилляры, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: толките, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: сосудик, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: так, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: как, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: тонкие, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: стайки, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: необходимы, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: для, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: наилучшего, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: отела, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: веществ, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [34.823280334472656, 2231.991455078125, 2288.083984375, 2590.0]
