Text: находятся, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: в, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: пятили, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: количествах, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: в, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: том, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: числе, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: -де, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: верхние, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: тленности, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: мы, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: поднимаем, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: вверх, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: что, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: способствует, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: току, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: липидах, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: В, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: николае, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: келейности, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: почти, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: всегда, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: находятся, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: в, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: одном, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: таем, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: мы, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: редко, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: поднимаем, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: их, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: свинине, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: готовы, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: положении, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: распиливается, Number: 22, Confidence: 0.67, Bbox: [52.74571990966797, 41.07057189941406, 2283.580322265625, 652.6166381835938]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: на, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: материке, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: от, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: которого, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: в, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: последствии, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: откололась, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: Австралия, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: и, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: Южная, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: Америка, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: наиболее, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: древние, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: дополни, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: дети, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: предпол, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: быть, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: белом, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: ариане, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: витания, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: чтобы, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: порошки, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: имени, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: exomee, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: гомологичное, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: строение, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: супротив, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: животные, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: не, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: способн, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: самостоятельно, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: пересекать, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: океанические, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: воды, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: рисская, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: на, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: разных, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: материках, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: среда, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: из, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: белилось, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: по, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: появившийс, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
Text: разношу, Number: 24, Confidence: 0.32, Bbox: [23.561487197875977, 688.2528076171875, 2310.0, 2128.98046875]
