Text: мать, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: мужчины, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: в, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: первом, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: бровке, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: отец, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: а, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: -с, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: а, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: а, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: а, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: первом, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: ломание, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нео, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гипутрижда, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: тимоловым, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: в, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: развитии, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: ночи, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: -с, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: от, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: матери, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: получения, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: от, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
