Text: негроид, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: сигнал, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: передается, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: на, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: пищеварительный, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: -с, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: От, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: зрительно, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: чувствительного, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: чувствительный, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: микрон, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: из-за, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: того, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: что, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: установился, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: условный, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: рефлекс, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: -с, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: От, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: пище, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: творительного, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: чувствительного, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: нейроны, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: сигнал, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: передается, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: на, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: двигательный, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: нейрон, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: синкоп, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: поступает, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: в, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: слюнные, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: железы, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: и, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: начинается, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: выработка, Number: 22, Confidence: 0.53, Bbox: [58.12566375732422, 2.321383237838745, 2301.26416015625, 611.5983276367188]
Text: слюны, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: жиклер, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: имеет, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: очень, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: длинную, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: шею, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: в, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: отличие, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: от, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: человека, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: поэтому, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: для, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: того, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: чтобы, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: кровь, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: прошла, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: круг, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: кровообращения, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: вертикально, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: вверх, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: ей, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: потребуется, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: большое, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: давление, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: Плотная, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: соединительная, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: ткань, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: вокруг, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: капилляров, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: коренастой, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: высоким, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: давлением, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: так, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: капилляры, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: имеют, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: очень, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: такие, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: Степки, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: по, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: своей, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: природе, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: и, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: без, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: волнительной, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: защиты, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: могут, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: не, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: выдержать, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: такой, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: нагрузки, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: У, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: людей, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: с, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: повышенным, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: артериальным, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: давлением, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: большое, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: нижние, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: количество, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: крови, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: поступает, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: в, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: школьная, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: конечности, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: так, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: как, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: человека, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: свойственно, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: перезво, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: прямохождение, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: при, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: этом, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: из-за, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: большого, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: дозволения, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: артерии, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: немного, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
Text: увеличиваются, Number: 22, Confidence: 0.43, Bbox: [48.934486389160156, 586.7373657226562, 2308.506103515625, 2057.86572265625]
