Text: Задан, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: no23, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: продолжение, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: а, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: стимулируя, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: е, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: к, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: синтезу, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: белковых, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: компонентов, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: своего, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: котик, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: да, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: Это, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: усложняет, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
