Text: будет, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: всегда, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: а, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: гипертрихоз, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: а, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: нормальное, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: разве, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: развитие, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: инсти, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: быть, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: не, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: может, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: побежу, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: что, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: аномалия, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: киста, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: напом, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: здоров, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: за, Number: 24, Confidence: 0.70, Bbox: [58.95138931274414, 15.32947826385498, 2292.717529296875, 506.5306701660156]
Text: является, Number: 25, Confidence: 0.55, Bbox: [61.175148010253906, 17.452211380004883, 2299.47412109375, 510.5783386230469]
Text: доминантным, Number: 25, Confidence: 0.55, Bbox: [61.175148010253906, 17.452211380004883, 2299.47412109375, 510.5783386230469]
Text: приз, Number: 25, Confidence: 0.55, Bbox: [61.175148010253906, 17.452211380004883, 2299.47412109375, 510.5783386230469]
