Text: сейчас, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: можно, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: необходимо, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: закономерности, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: в, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: расселении, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: Задание, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: -де, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: Здание, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: -с, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: изменение, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: давления, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: может, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: наблюдаться, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: при, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: изменении, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: аналогичного, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: зависимости, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: -с, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: поскольку, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: голова, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: и, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: шел, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: интрада, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: расположенного, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: высокого, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: от, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: земли, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: наблюдается, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: повышение, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: артериального, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: до, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: что, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: давления, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: -с, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: при, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: повышенном, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: давление, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: в, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: организме, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: капилляры, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: могут, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: гоняться, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: например, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: это, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: может, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: быть, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: заметно, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: в, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
Text: глазах, Number: 25, Confidence: 0.39, Bbox: [7.91343879699707, 177.4620361328125, 2299.412841796875, 2453.81787109375]
