Text: рус, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: копирует, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: ДАК, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: хозяина, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: что, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: такие, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: усложняет, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: у, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: разработку, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: препарата, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: no25, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: -с, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: В, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: связи, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: с, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: жарким, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: климатом, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: где, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: обитает, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: шериф, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: в, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: его, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: санных, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: артериях, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: будет, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: высокое, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: артериальное, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: -с, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: У, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: жирафов, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: в, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: конечностях, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: соединительная, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: ткань, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: вокруг, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: капилляров, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: имеет, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: большую, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: плотность, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: чем, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: у, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: человека, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: так, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
Text: как, Number: 22, Confidence: 0.77, Bbox: [0.0, 387.435546875, 2294.740234375, 1761.3736572265625]
