Text: ненормальное, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: гипюр, Number: none, Confidence: none, Bbox: none
Text: прихода, Number: none, Confidence: none, Bbox: none
Text: инерцию, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: ломался, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: прида, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: гибнер, Number: none, Confidence: none, Bbox: none
Text: артроза, Number: none, Confidence: none, Bbox: none
Text: инерции, Number: none, Confidence: none, Bbox: none
Text: розалия, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: халву, Number: none, Confidence: none, Bbox: none
Text: анормальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: гиперон, Number: none, Confidence: none, Bbox: none
Text: атрия, Number: none, Confidence: none, Bbox: none
Text: психоза, Number: none, Confidence: none, Bbox: none
Text: аномалия, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: Спиноза, Number: none, Confidence: none, Bbox: none
Text: паранормальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: приперт, Number: none, Confidence: none, Bbox: none
Text: хавуааномалия, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: лавсаном, Number: none, Confidence: none, Bbox: none
Text: реальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: впер, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: первом, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: ребенка, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: нормальным, Number: none, Confidence: none, Bbox: none
Text: развитием, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: гипертрихозом, Number: none, Confidence: none, Bbox: none
Text: охватов, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: генах, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: севков, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: рецессивными, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: доми, Number: none, Confidence: none, Bbox: none
Text: знатными, Number: none, Confidence: none, Bbox: none
Text: генами, Number: none, Confidence: none, Bbox: none
Text: родителей, Number: none, Confidence: none, Bbox: none
Text: т.к., Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: генах, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: аллели, Number: none, Confidence: none, Bbox: none
Text: секов, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: рецессивными, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: доми., Number: none, Confidence: none, Bbox: none
Text: наптными, Number: none, Confidence: none, Bbox: none
Text: генами, Number: none, Confidence: none, Bbox: none
Text: родителей, Number: none, Confidence: none, Bbox: none
