Text: доминантного, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ад, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: и, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: генерационного, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: а, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: плотиной, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: так, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: в, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: них, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: жизни, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: массивный, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: лишь, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ино, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: отсутствует, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ан, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ибо, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: подавляется, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: домашняя, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: миллионо, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: гена, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: ак, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: заболевание, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: не, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: возникает, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: порола, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: Частота, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: кристального, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: клотика, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: p2+2pg, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: а, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: 0,9801+, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: 0,0198=0,9999, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: частота, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: встречаемость, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: заболевания, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: а, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: есть, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: фенотип, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: второй, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: давид, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
Text: К, Number: 28, Confidence: 0.69, Bbox: [10.58821964263916, 62.899959564208984, 2260.381591796875, 2541.127197265625]
