Text: (24), Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: -с, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: на, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: рис, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: а, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: головном, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: мозге, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: собаки, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: было, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: -с, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: безусловные, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: рефлексы, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: поддаются, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: экспериментальному, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: инстинкты, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: же, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: невозможно, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: года, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: подвергнет, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: экспериментальному, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: воздействию, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: так, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: они, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: неизменны, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: -с, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: глаза, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: головной, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: мозг, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: слюнная, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: железа, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: ротовая, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: полость, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: (25), Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: высокое, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: -с, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: У, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: жирафа, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: давлению, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: обусловлено, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: их, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: громадным, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: ростом, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: (26), Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: Я, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: предполагаю, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: что, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: поболее, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: древние, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: предки, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: современных, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: сумчатых, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: обитали, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: в, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: африке, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: так, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: там, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: множество, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: кининов, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: довольно, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: жаркий, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: климат, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: поэтому, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: им, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: было, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: необходимо, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: защищать, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: своих, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: детенышей, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: от, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: жары, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: пряча, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: чары, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: и, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: хищников, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: их, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: в, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: от, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: жары, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: пряча, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: чары, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: и, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: хищников,, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: их, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
Text: в, Number: 28, Confidence: 0.78, Bbox: [4.35982608795166, 122.3315200805664, 2286.121826171875, 2515.12890625]
