Text: большим, Number: none, Confidence: none, Bbox: none
Text: закута, Number: none, Confidence: none, Bbox: none
Text: родановыми, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: развитии, Number: none, Confidence: none, Bbox: none
Text: кухни, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: аномалия, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: развитии, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: хандра, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: развитии, Number: none, Confidence: none, Bbox: none
Text: листик, Number: none, Confidence: none, Bbox: none
Text: нет, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: безопасн, Number: none, Confidence: none, Bbox: none
Text: ретинопатии, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: развитии, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: Ответ, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: первом, Number: none, Confidence: none, Bbox: none
Text: барыне, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: ребенка, Number: none, Confidence: none, Bbox: none
Text: нормальным, Number: none, Confidence: none, Bbox: none
Text: невозможно, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: доминантным, Number: none, Confidence: none, Bbox: none
Text: развитием, Number: none, Confidence: none, Bbox: none
Text: пистик, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: гипертрихозом, Number: none, Confidence: none, Bbox: none
Text: обык, Number: none, Confidence: none, Bbox: none
Text: женщина, Number: none, Confidence: none, Bbox: none
Text: отдает, Number: none, Confidence: none, Bbox: none
Text: комету, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: пузины, Number: none, Confidence: none, Bbox: none
Text: ионном, Number: none, Confidence: none, Bbox: none
Text: отсутствие, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: большие, Number: none, Confidence: none, Bbox: none
Text: размеры, Number: none, Confidence: none, Bbox: none
Text: тела, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: длин, Number: none, Confidence: none, Bbox: none
Text: блинные, Number: none, Confidence: none, Bbox: none
Text: шелеп, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: кино, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: отпр, Number: none, Confidence: none, Bbox: none
Text: отправи, Number: none, Confidence: none, Bbox: none
Text: вить, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: про, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: сердца, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: большой, Number: none, Confidence: none, Bbox: none
Text: руг, Number: none, Confidence: none, Bbox: none
Text: круг, Number: none, Confidence: none, Bbox: none
Text: кровообращения, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: пирами, Number: none, Confidence: none, Bbox: none
Text: падун, Number: none, Confidence: none, Bbox: none
Text: живут, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: основном, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: засушливых, Number: none, Confidence: none, Bbox: none
Text: плитчатая, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: книг, Number: none, Confidence: none, Bbox: none
Text: там, Number: none, Confidence: none, Bbox: none
Text: недостаточно, Number: none, Confidence: none, Bbox: none
Text: ищи, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: питательных, Number: none, Confidence: none, Bbox: none
Text: веществ, Number: none, Confidence: none, Bbox: none
Text: соединительная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: выполнила, Number: none, Confidence: none, Bbox: none
Text: запакую, Number: none, Confidence: none, Bbox: none
Text: функцию, Number: none, Confidence: none, Bbox: none
Text: также, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: кто, Number: none, Confidence: none, Bbox: none
Text: дружно, Number: none, Confidence: none, Bbox: none
Text: поддерживать, Number: none, Confidence: none, Bbox: none
Text: дремотную, Number: none, Confidence: none, Bbox: none
Text: угода, Number: none, Confidence: none, Bbox: none
Text: кулю, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: помощью, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: ходит, Number: none, Confidence: none, Bbox: none
Text: вс, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: четырех, Number: none, Confidence: none, Bbox: none
Text: ногах, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: человек, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: двух, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: х, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: оградку, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: винительной, Number: none, Confidence: none, Bbox: none
Text: ткани, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: лим, Number: none, Confidence: none, Bbox: none
Text: морен, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: отбилось, Number: none, Confidence: none, Bbox: none
Text: диптих, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: возникает, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: проблем, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: внуши, Number: none, Confidence: none, Bbox: none
Text: клапаны, Number: none, Confidence: none, Bbox: none
Text: попранные, Number: none, Confidence: none, Bbox: none
Text: нагреваются, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: плохо, Number: none, Confidence: none, Bbox: none
Text: работают, Number: none, Confidence: none, Bbox: none
Text: если, Number: none, Confidence: none, Bbox: none
Text: повышается, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: сет, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: приходит, Number: none, Confidence: none, Bbox: none
Text: Ко, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: боль, Number: none, Confidence: none, Bbox: none
Text: рюшному, Number: none, Confidence: none, Bbox: none
Text: гу, Number: none, Confidence: none, Bbox: none
Text: другу, Number: none, Confidence: none, Bbox: none
Text: обращение, Number: none, Confidence: none, Bbox: none
Text: вниз, Number: none, Confidence: none, Bbox: none
Text: низ, Number: none, Confidence: none, Bbox: none
Text: проход, Number: none, Confidence: none, Bbox: none
Text: лимфа, Number: none, Confidence: none, Bbox: none
Text: иератические, Number: none, Confidence: none, Bbox: none
Text: вве, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: забирать, Number: none, Confidence: none, Bbox: none
Text: поветь, Number: none, Confidence: none, Bbox: none
Text: рису, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: этому, Number: none, Confidence: none, Bbox: none
Text: пр, Number: none, Confidence: none, Bbox: none
Text: про, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: длительно, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ич, Number: none, Confidence: none, Bbox: none
Text: дав, Number: none, Confidence: none, Bbox: none
Text: вовлеки, Number: none, Confidence: none, Bbox: none
Text: артериальном, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: возникать, Number: none, Confidence: none, Bbox: none
