Text: Соединительная, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: ткань, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: в, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: Во, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: всех, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: сосудах, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: жирафа, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кровососных, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: сосудах, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: вылиняет, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: барьерную, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: фун, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: акцию, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: в, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: сосудах, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: жирафы, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кровяное, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: давление, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: сильное, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: им, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: у, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: человека, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: следовавшие, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: им, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: у, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: бель, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: но, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -де, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: х, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: у, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: анатомия, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисти, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: норм, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисть, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоза, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: р, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: а, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: Х, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: ха, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гномам, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисти, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоз, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нормальная, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоз, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: духа, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: здоровья, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: норм, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисте, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: аномальна, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: норм, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисть, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: анамнясь, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипероне, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипер-гипертрахоз, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоз, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: прихода, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: грехова, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: вспомнил, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: интерприкоза, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: а, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: норм, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисть, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоза, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -де, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: 0xx,, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: абу, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: норм, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисть, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: аномалия, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисти, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоза, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоза, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: возможно, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: при, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: слиянии, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: материнской, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гаметы, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: геном, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: нормальной, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: кисти, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: аи, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: отцовской, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гаметы, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: у, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: геном, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоза, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: с, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: геном, Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
Text: гипертрихоза., Number: 28, Confidence: 0.71, Bbox: [0.3159151077270508, 262.2584533691406, 2310.0, 2008.4427490234375]
