Text: условиях, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: а, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: безусловный, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: рефлекс, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: отвечает, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: за, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: такие, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: базовые, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: вещи, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: как, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: сосание, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: например, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: без, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: которого, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: без, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: метеным, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: не, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: сможет, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: питаться, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: материнским, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: молоком, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: и, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: погибнет, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: рецепторчувствительный, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: вставочный, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: нейрон, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: двигательный, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: чернорабочий, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: орган, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: -де, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: длинной, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: шей, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: сердцу, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: приходится, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: перекачивать, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: кровь, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: на, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: большое, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: расстояние, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: человеку, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: Поэтому, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: такое, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: давление, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: необходимо, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: для, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: эффективного, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: кровоснабжения, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: головного, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: мозга, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: Опять, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: же, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: из-за, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: огромного, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: давление, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: на, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: нижних, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: конечностях, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: гравитация, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: и, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: сама, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: масса, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: тела, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: жирафу, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: нужна, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: плотная, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: соединительная, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: тканьукапилля-, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: ров, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: При, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: длительном, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: повышенном, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: артериальном, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: давлении, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: сосуды, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: быстро, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: изнашиваются, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: стенки, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: сосудов, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: истощаются, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: жидкость, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: из, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: них, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: попадает, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: в, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: прилегающие, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: ткани, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: кровь, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: сужается, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: что, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: приводит, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: к, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: газово, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: образованию, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: тромбов, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: а, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
Text: жидкость, Number: 22, Confidence: 0.43, Bbox: [53.526493072509766, 9.988993644714355, 2270.520751953125, 509.70098876953125]
