Text: На, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: инстинктах, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: формируется, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: поведение, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: многих, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: животных, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: так, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: как, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: они, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: явл, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: валюта, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: частью, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: нервной, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: систем, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: В, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: свою, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: ведь, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: резца, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: условен, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: ровные, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: рефлексы, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: заботы, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: бывают, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: лишь, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: при, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: раздражении, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: как-либо, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: рецепторов, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: дорой, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: у, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: обозначении, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: зрительные, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: рецепторы, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: возни, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: которых, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: сигнал, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: об, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: этом, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: поступает, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: головкой, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: мозг, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: а, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: именно, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: в, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: кору, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: полушарий, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: и, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: п, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: После, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: чего, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: сильная, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: сигнал, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: переться, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: зрительному, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: лезь, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: в, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: дунст, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: чего, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: этой, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: ун, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: информации, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: об, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: эт, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: этом, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: поступает, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: продолговатые, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: мозг, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: цифра, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: который, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: приводи, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: возбужден, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: е, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: слюнно, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: капните, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: железы, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: из, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: цифра, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: конечном, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: тог, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: выделяется, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: слюна, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: железы,, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: из, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: цифра, Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
Text: 3., Number: 22, Confidence: 0.41, Bbox: [0.0, 4.9338579177856445, 2278.89453125, 907.98486328125]
