Text: временная, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: связь, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: центр, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: в, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: головном, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: продолговатый, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: мозг, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: а, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: двигательный, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: нейрон, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: а, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: исполнительный, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: орган, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: Отрицательный, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: контроль, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: должен, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: полностью, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: отменить, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: зависимую, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: переменную, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
