Text: вирусы, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: могут, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: афере, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: резать, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: часть, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: плазматической, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: мембраны, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: картины, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: дополнительную, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: оболочку, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: вирусы, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: образуют, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: апсид, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: засечет, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: действия, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: органонов, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: и, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: веществ, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: клеткихозями), Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: на, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: распредели, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: на, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
Text: еду, Number: 22, Confidence: 0.39, Bbox: [0.0, 51.2805061340332, 2293.373046875, 2590.0]
