Text: шанса, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: на, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: указывание, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: передачи, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: мир, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: статных, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: аллелей, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: -де, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: панамам, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: апачам, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: кистой, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: кое-, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: р, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гиперона, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: не, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: воза, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: пи, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: соты, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: на, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: кое-, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: не, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: непрочь, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: заметы, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: И, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: отрез, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гнет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гиперон, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: из-за, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: просоленные, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
