Text: -с, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: -де, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: Ракой, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: ватным, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: отрицательный, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: контроль, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: не, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: является, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: спектак, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: исследователь, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: все, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: равно, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: рав, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: воздействует, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: независимой, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: переменной, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: много, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: нас, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: средство, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: о, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: на, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: зависимую, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: количество, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: на, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: вирусных, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: частиц, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: заражаем, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: клетки, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: человека, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: вирусами, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: не, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: добавляем, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: лекарственное, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: средство, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: Остальные, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: параметры, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: оставляем, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: без, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: время, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: экспер, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: изменений, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: no23., Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: так, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: как, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: количество, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: вирусных, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: частиц, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: ви, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: течением, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: времени, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: а, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: наблюдение, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
Text: анализ, Number: 22, Confidence: 0.46, Bbox: [66.92015838623047, 20.132610321044922, 2310.0, 1582.9715576171875]
