Text: маляров, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: ведь, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: ав, Number: none, Confidence: none, Bbox: none
Text: ведь, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: риске, Number: none, Confidence: none, Bbox: none
Text: риск, Number: none, Confidence: none, Bbox: none
Text: получи, Number: none, Confidence: none, Bbox: none
Text: лучить, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: него, Number: none, Confidence: none, Bbox: none
Text: ме, Number: none, Confidence: none, Bbox: none
Text: ме, Number: none, Confidence: none, Bbox: none
Text: меньше, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: видит, Number: none, Confidence: none, Bbox: none
Text: свои, Number: none, Confidence: none, Bbox: none
Text: нощи, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: сложнее, Number: none, Confidence: none, Bbox: none
Text: обеспечивать, Number: none, Confidence: none, Bbox: none
Text: обмен, Number: none, Confidence: none, Bbox: none
Text: веществ, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: поступление, Number: none, Confidence: none, Bbox: none
Text: нижние, Number: none, Confidence: none, Bbox: none
Text: ше, Number: none, Confidence: none, Bbox: none
Text: щечко, Number: none, Confidence: none, Bbox: none
Text: сти, Number: none, Confidence: none, Bbox: none
Text: осложняется, Number: none, Confidence: none, Bbox: none
Text: no27, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: <unk>, Number: none, Confidence: none, Bbox: none
