Text: хаза, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: нормальное, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: различие, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: кисти, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: без, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: от, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: аномалий, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: в, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: в, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: гипюр, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: развитии, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: кисти, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: бе, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: шалав, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: гипертрихоза, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: развитие, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: кисти, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: без, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: нормальное, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: -с, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: творожное, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: как, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: так, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: как, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: случает, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: нежную, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: замету, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: а, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: результате, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: полот, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: он, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: отца, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: полу, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: красивоговера., Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: полу, Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
Text: красивоговера., Number: 24, Confidence: 0.37, Bbox: [35.39434814453125, 29.177194595336914, 2310.0, 830.5747680664062]
