Text: институт, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: свойственное, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: организму, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: с, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: самого, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: рождение, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: Появление, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: разорителя, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: освет, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: а, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: уравнение, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: света, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: зрительным, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: контактом, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: чувствительный, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: нейрон, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: Передача, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: в, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: двигательный, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: петровн, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
