Text: г, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -де, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: -с, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: аномалия, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитии, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: анормальное, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертиреоз, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитие, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоза, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: р, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: дамах, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: нормальное, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитие, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: без, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: гипертрихоз, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: аба, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: ху, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: аномалия, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: в, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: развитии, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
Text: кисти, Number: 28, Confidence: 0.76, Bbox: [29.25956916809082, 58.53420639038086, 2310.0, 2293.274169921875]
