Text: Жираф, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: выше, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: по, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: росту, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: и, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: больше, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: по, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: массе, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: чем, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: челове, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: В, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: сердце, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: жирафа, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: много, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: качается, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: крови, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: для, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: того, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: чтобы, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: она, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: поступила, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: в, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: его, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: органы, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: и, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: ткани, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: При, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: повышенном, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: давления, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: ссужаются, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: сосуды, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: и, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: образуется, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: преграда, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: для, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: я, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: доступа, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: крови, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: к, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: нижним, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: конечностям, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: агав, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: сумчатые, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: животные, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: возможно, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: обитали, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: в, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: южной, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: америки, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: так, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
