Text: противовирусного, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: препарата, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: отрицательный, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: контроле, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: ставится, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: для, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: выявления, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: того, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: что, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: зависимая, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: переменная, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: количество, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: клеток, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: вируса, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: не, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: зависит, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: от, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: независимой, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: переменной, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: ценностей, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: добавления, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
