Text: Такой, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: отрицательный, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: контроль, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: может, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: являться, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: неадекватным, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: так, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: он, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: не, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: даст, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: да, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: точных, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: результатов, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: действия, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: естественного, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: препаратов, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: Противовирусный, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
Text: препарат, Number: 22, Confidence: 0.44, Bbox: [0.0, 0.0, 2259.739501953125, 1112.0592041015625]
