Text: кровь, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: по, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: сонной, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: артерии, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: взошла, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: до, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: всех, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: клеток, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: Жираф, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: имеет, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: большую, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: площадь, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: размер, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: тема, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: по, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: сравнению, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: с, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: человеком, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: а, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: также, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: блинные, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: конечности, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: Соединительная, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: ткань, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: более, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: плотная, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: для, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: того, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: чтобы, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: клеткам, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: больше, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: отдавать, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: со, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: углекислый, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: говну, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: который, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: накопился, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: и, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: больше, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: получать, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: кислорода, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: поэтому, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: вокруг, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: примеров, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: доверительная, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: ткань, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: имеет, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: больше, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: клеток, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: выше, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: плотность, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: Таким, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: образом, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: газообмен, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: в, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: примерах, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: проходит, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: эффективнее, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: и, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: способствует, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: тому, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: чтобы, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: все, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: части, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: тела, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: жирафа, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: в, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: особенности, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: конечности, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: получали, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
Text: отбыли, Number: 22, Confidence: 0.76, Bbox: [11.197819709777832, 0.0, 2297.8955078125, 1037.1971435546875]
