Text: хауааномалия, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: развитии, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: кисти, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: отсутс, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: гипертрихоза, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: а, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: ответ, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: да, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: возможно, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: а, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: где, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: х, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: а, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: от, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: матери, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: а, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: ав, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: в, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: от, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: отца, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: в, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: результате, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: кроссинговера, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: такие, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: аллели, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: такие, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
Text: аллели, Number: 28, Confidence: 0.48, Bbox: [25.896394729614258, 2.600186347961426, 2304.721435546875, 371.6398010253906]
