Text: расстояние, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: в, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: поисках, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: пищи, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: лучшего, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: места, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: обитания, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: или, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: защита, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: от, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: Вязников, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: связи, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: наращивания, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: конкуренции, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: других, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: видов, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: сливочных, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: сумчатым, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: милость, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: перебрать, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: ся, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: гречу, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: трущую, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: книга, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: и, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: чешскую, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: зону, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: минне, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: бито, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: года, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: в, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: эволюцию, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: где, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: уровень, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: конку, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: кривого, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: идосуменению?, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: современных, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: видо, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
Text: сумчатых, Number: 25, Confidence: 0.37, Bbox: [13.858521461486816, 1.319791555404663, 2310.0, 428.5105285644531]
