Text: необходимо, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: выдерживать, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: более, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: высокое, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: або, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: у, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: людей, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: при, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: дистальная, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: патологически, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: Я, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: под, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: может, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: возникать, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: отечность, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: в, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: связи, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: с, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: расточными, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: явлениями, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: в, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: вспух, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: нижних, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: конечностей, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: что, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: в, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: свою, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: очередь, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: является, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: признаков, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: сердечной, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: недовязанной, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: всего, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: чтосточкати,, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: гипотрофией, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: из-за, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: это, Number: 22, Confidence: 0.46, Bbox: [45.392234802246094, 31.104856491088867, 2310.0, 1002.2080688476562]
Text: no26, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: Скорее, Number: 22, Confidence: 0.32, Bbox: [756.1609497070312, 37.62786102294922, 2284.24560546875, 979.447265625]
Text: всего, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: наиболее, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: древние, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: предки, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: совлеченных, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: початых, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: обитали, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: Южной, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
Text: черните, Number: 22, Confidence: 0.38, Bbox: [46.48101806640625, 52.25616455078125, 2310.0, 1869.649169921875]
