Text: В, Number: none, Confidence: none, Bbox: none
Text: первом, Number: none, Confidence: none, Bbox: none
Text: браке, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: ребенка, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: нормал, Number: none, Confidence: none, Bbox: none
Text: нормальным, Number: none, Confidence: none, Bbox: none
Text: влитием, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихозом, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: условии, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: мать, Number: none, Confidence: none, Bbox: none
Text: четерозаботна, Number: none, Confidence: none, Bbox: none
Text: признаку, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: дочь, Number: none, Confidence: none, Bbox: none
Text: получает, Number: none, Confidence: none, Bbox: none
Text: одну, Number: none, Confidence: none, Bbox: none
Text: хе-хе, Number: none, Confidence: none, Bbox: none
Text: могилу, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: матери, Number: none, Confidence: none, Bbox: none
Text: содержащий, Number: none, Confidence: none, Bbox: none
Text: рецеписса, Number: none, Confidence: none, Bbox: none
Text: признаки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: одна, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: олизар, Number: none, Confidence: none, Bbox: none
Text: содержащую, Number: none, Confidence: none, Bbox: none
Text: резиновая, Number: none, Confidence: none, Bbox: none
Text: емель, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: рецессивный, Number: none, Confidence: none, Bbox: none
Text: аллель, Number: none, Confidence: none, Bbox: none
Text: корм, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: образовался, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: процесс, Number: none, Confidence: none, Bbox: none
Text: кроссинговера, Number: none, Confidence: none, Bbox: none
Text: сып, Number: none, Confidence: none, Bbox: none
Text: получает, Number: none, Confidence: none, Bbox: none
Text: одну, Number: none, Confidence: none, Bbox: none
Text: бахромному, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: матери, Number: none, Confidence: none, Bbox: none
Text: содержа, Number: none, Confidence: none, Bbox: none
Text: рецессия, Number: none, Confidence: none, Bbox: none
Text: аллель, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: хромосому, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: боту, Number: none, Confidence: none, Bbox: none
Text: разв, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: тук, Number: none, Confidence: none, Bbox: none
Text: сод, Number: none, Confidence: none, Bbox: none
Text: рецептивный, Number: none, Confidence: none, Bbox: none
Text: емель, Number: none, Confidence: none, Bbox: none
Text: норм, Number: none, Confidence: none, Bbox: none
Text: разв, Number: none, Confidence: none, Bbox: none
Text: месту, Number: none, Confidence: none, Bbox: none
Text: образовавшегося, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: резите, Number: none, Confidence: none, Bbox: none
Text: краситовера., Number: none, Confidence: none, Bbox: none
Text: образовавшегося, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: рез-те, Number: none, Confidence: none, Bbox: none
Text: краситовера., Number: none, Confidence: none, Bbox: none
