Text: большое, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: расстояние, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: а, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: а, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: для, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: поступлении, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: крови, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: нужно, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: высокое, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: давление, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: -с, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: соединительной, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: тканью, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: у, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: жирафа, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: образована, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: копыта, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: которые, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: выполняют, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: защитную, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: функцию, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: например, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: отд, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: отлов, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: или, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: ра, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: мнений, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: У, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: человека, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
